aileron,set /controls/flight/aileron[0]
elevator,set /controls/flight/elevator
rudder,set /controls/flight/rudder
flaps,set /controls/flight/flaps
speedbrake,set /controls/flight/speedbrake
throttle,set /controls/engines/engine[0]/throttle
throttle,set /controls/engines/engine[1]/throttle
latitude-deg,set /position/latitude-deg
longitude-deg,set /position/longitude-deg
altitude-ft,set /position/altitude-ft
roll-deg,set /orientation/roll-deg
pitch-deg,set /orientation/pitch-deg
heading-deg,set /orientation/heading-deg
side-slip-deg,set /orientation/side-slip-deg
airspeed-kt,set /velocities/airspeed-kt
vertical-speed-fps,set /velocities/vertical-speed-fps
airspeed-indicator_indicated-speed-kt,set /instrumentation/airspeed-indicator/indicated-speed-kt
altimeter_indicated-altitude-ft,set /instrumentation/altimeter/indicated-altitude-ft
altimeter_pressure-alt-ft,set /instrumentation/altimeter/pressure-alt-ft
attitude-indicator_indicated-pitch-deg,set /instrumentation/attitude-indicator/indicated-pitch-deg
attitude-indicator_indicated-roll-deg,set /instrumentation/attitude-indicator/indicated-roll-deg
attitude-indicator_internal-pitch-deg,set /instrumentation/attitude-indicator/internal-pitch-deg
gps_indicated-altitude-ft,set /instrumentation/gps/indicated-altitude-ft
gps_indicated-ground-speed-kt,set /instrumentation/gps/indicated-ground-speed-kt
gps_indicated-vertical-speed,set /instrumentation/gps/indicated-vertical-speed
indicated-heading-deg,set /instrumentation/heading-indicator/indicated-heading-deg
engine_rpm,set /engines/engine/rpm
